epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,11519.3,0.79735,0.98806,1.12444,0.88101,0.78324,0.8649,0.75636,0.44023,0.68156,0.79182,0.000743468,0.000743468,0.000743468
138,11603,0.79952,0.98261,1.12682,0.8823,0.78168,0.86486,0.75698,0.43977,0.68017,0.79159,0.000740054,0.000740054,0.000740054
139,11686.9,0.79339,0.97712,1.12657,0.88308,0.78196,0.86494,0.757,0.4394,0.67758,0.7915,0.000736625,0.000736625,0.000736625
140,11771,0.79352,0.98457,1.12491,0.88461,0.78122,0.86531,0.7574,0.43945,0.67376,0.79144,0.000733182,0.000733182,0.000733182
141,11855.3,0.79271,0.97025,1.12406,0.87872,0.78409,0.86552,0.75747,0.43918,0.67036,0.79127,0.000729725,0.000729725,0.000729725
142,11939.7,0.79536,0.9786,1.12792,0.88296,0.78268,0.86609,0.75778,0.43875,0.66773,0.79112,0.000726254,0.000726254,0.000726254
143,12023.5,0.79612,0.98421,1.12584,0.88307,0.78343,0.8662,0.75849,0.43855,0.66634,0.79098,0.00072277,0.00072277,0.00072277
144,12107.3,0.79412,0.98137,1.12201,0.8834,0.7827,0.86645,0.75873,0.43892,0.66467,0.79194,0.000719272,0.000719272,0.000719272
145,12191.2,0.79068,0.96651,1.12201,0.88528,0.782,0.86653,0.75897,0.43876,0.66492,0.79229,0.000715761,0.000715761,0.000715761
146,12274.9,0.78289,0.96776,1.11781,0.88632,0.78048,0.86652,0.75902,0.43861,0.66431,0.79227,0.000712237,0.000712237,0.000712237
147,12358.5,0.78433,0.95088,1.11946,0.88602,0.78305,0.86692,0.75975,0.43877,0.6648,0.7924,0.0007087,0.0007087,0.0007087
148,12442,0.77931,0.94799,1.11513,0.88466,0.78323,0.86705,0.7599,0.43843,0.66388,0.79231,0.00070515,0.00070515,0.00070515
149,12526.1,0.78167,0.95971,1.11819,0.88495,0.78376,0.8672,0.75999,0.43811,0.66432,0.79209,0.000701588,0.000701588,0.000701588
150,12609.6,0.77504,0.94685,1.11706,0.88545,0.78427,0.86745,0.75998,0.43773,0.66236,0.79197,0.000698014,0.000698014,0.000698014
151,12693.3,0.78426,0.95531,1.12043,0.88581,0.78415,0.86709,0.76003,0.43717,0.66101,0.79104,0.000694428,0.000694428,0.000694428
152,12777.2,0.77802,0.95048,1.11583,0.8857,0.78301,0.86754,0.76006,0.43713,0.66001,0.79115,0.000690831,0.000690831,0.000690831
153,12860.8,0.77379,0.95024,1.11584,0.88663,0.78253,0.86772,0.76014,0.43766,0.65835,0.79216,0.000687222,0.000687222,0.000687222
154,12945.5,0.77873,0.95547,1.11804,0.88685,0.78054,0.8666,0.75977,0.43756,0.65876,0.79219,0.000683601,0.000683601,0.000683601
155,13029.1,0.77736,0.94933,1.11733,0.88549,0.7813,0.86685,0.76006,0.43723,0.65828,0.79208,0.00067997,0.00067997,0.00067997
156,13112.8,0.77383,0.94949,1.11737,0.87635,0.78395,0.86685,0.76058,0.43688,0.65802,0.79212,0.000676328,0.000676328,0.000676328
157,13197,0.76415,0.93842,1.11174,0.88082,0.78136,0.86698,0.76144,0.43669,0.6595,0.79221,0.000672675,0.000672675,0.000672675
