epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,17976.5,0.77041,0.96874,1.14453,0.87223,0.78778,0.87319,0.78226,0.39389,0.71863,0.77472,0.000795954,0.000795954,0.000795954
122,18125.3,0.76474,0.96009,1.14251,0.84287,0.81425,0.87332,0.78212,0.39375,0.71329,0.77453,0.0007928,0.0007928,0.0007928
123,18274.1,0.76069,0.95456,1.13976,0.84063,0.81548,0.87325,0.78188,0.39348,0.71033,0.77442,0.000789628,0.000789628,0.000789628
124,18422.5,0.7575,0.96508,1.13994,0.86301,0.7968,0.87348,0.78196,0.39379,0.70747,0.77525,0.000786438,0.000786438,0.000786438
125,18570.9,0.75917,0.96052,1.14058,0.85979,0.79866,0.8734,0.78235,0.39392,0.70172,0.77576,0.000783231,0.000783231,0.000783231
126,18719.2,0.75473,0.95025,1.13809,0.86248,0.79948,0.87375,0.78252,0.3936,0.69636,0.77555,0.000780007,0.000780007,0.000780007
127,18867.1,0.75791,0.9498,1.13991,0.85693,0.80774,0.87393,0.78325,0.39367,0.69058,0.77575,0.000776766,0.000776766,0.000776766
128,19015.2,0.75121,0.95052,1.13104,0.85444,0.81205,0.8739,0.78344,0.39317,0.68453,0.77553,0.000773509,0.000773509,0.000773509
129,19163.8,0.75465,0.93036,1.13467,0.85606,0.81183,0.8743,0.78387,0.39285,0.68262,0.77536,0.000770234,0.000770234,0.000770234
130,19314,0.74601,0.92916,1.12974,0.85659,0.81209,0.87457,0.78384,0.39264,0.67685,0.77532,0.000766944,0.000766944,0.000766944
131,19462.2,0.75293,0.93606,1.1351,0.85522,0.81333,0.87449,0.78421,0.3924,0.67142,0.77508,0.000763637,0.000763637,0.000763637
132,19610.9,0.74541,0.93102,1.13315,0.85369,0.81286,0.87456,0.78435,0.39213,0.66737,0.77508,0.000760314,0.000760314,0.000760314
133,19758.6,0.74791,0.93936,1.13209,0.85253,0.81427,0.87444,0.78414,0.39196,0.66156,0.77525,0.000756976,0.000756976,0.000756976
